Train,Test,Model,n_common_features,AUC,F1,Precision,Recall,Brier,GLR,ECE,ReliabilityScore
pc3.arff,pc4.arff,xgboost,37,0.688103,0.099944,0.214921,0.065169,0.119397,0.13254,0.082899,0.827791
pc4.arff,pc1.arff,xgboost,10,0.698231,0.225658,0.247301,0.207792,0.076699,-0.042247,0.052705,0.808724
pc4.arff,pc2.arff,xgboost,36,0.79866,0.073695,0.040128,0.452174,0.029265,0.14276,0.066699,0.834894
pc4.arff,pc3.arff,xgboost,37,0.676869,0.113788,0.237055,0.075,0.101504,0.149611,0.079548,0.831752
MEAN,MEAN,adaboost,-,0.7544185,0.22540516666666666,0.18812683333333333,0.4192738333333333,0.10916108333333334,0.20359258333333333,0.1221345,0.8265539166666667
MEAN,MEAN,catboost,-,0.7507178333333333,0.14471133333333333,0.21582841666666666,0.143043,0.07513516666666667,0.1147365,0.07282175,0.828182
MEAN,MEAN,extra_trees,-,0.771259,0.13657566666666668,0.22031591666666664,0.13714600000000002,0.07309691666666666,0.11331466666666667,0.067467,0.8295357499999999
MEAN,MEAN,gradient_boosting,-,0.7090215,0.13366075,0.21502775,0.14702658333333332,0.07372825,0.18192866666666666,0.07009916666666667,0.8402884166666666
MEAN,MEAN,lightgbm,-,0.74505775,0.14808858333333333,0.20800074999999998,0.17342616666666666,0.0783725,0.25224858333333333,0.07255875,0.8511887499999999
MEAN,MEAN,mlp,-,0.5719120833333333,0.09166808333333333,0.10053691666666666,0.12752941666666667,0.09677658333333333,0.2816461666666667,0.09711874999999999,0.8479016666666667
MEAN,MEAN,random_forest,-,0.750721,0.1438805,0.21560900000000002,0.14263116666666667,0.07512825,0.1148985,0.0728175,0.8277661666666667
MEAN,MEAN,xgboost,-,0.7191446666666667,0.15386291666666665,0.21856325,0.17691525,0.07784683333333334,0.039125333333333324,0.07257333333333334,0.8156630833333334
