Model,Dataset,BaselineMetric,ProposedMetric,W_min_scipy,W_plus,W_minus,W_signed,p_value,significant_0.05,significant_0.01,effect_size_r
Extra Trees,PC1,AUC mean,AUC mean,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
Extra Trees,PC1,F1 mean,F1 mean,0.0,15.0,0.0,15.0,0.0625,False,False,1.0
Extra Trees,PC1,Precision mean,Precision mean,0.0,15.0,0.0,15.0,0.0625,False,False,1.0
Extra Trees,PC1,Recall mean,Recall mean,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
Extra Trees,PC1,Generalizability mean,GLR mean,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
Extra Trees,PC1,Concordance mean,Hit@10,0.0,15.0,0.0,15.0,0.0625,False,False,1.0
Extra Trees,PC1,Stability,ECE,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
Extra Trees,PC1,Reliability Index,Reliability Score,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
Extra Trees,PC2,AUC mean,AUC mean,0.0,15.0,0.0,15.0,0.0625,False,False,1.0
Extra Trees,PC2,F1 mean,F1 mean,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
Extra Trees,PC2,Precision mean,Precision mean,0.0,15.0,0.0,15.0,0.0625,False,False,1.0
Extra Trees,PC2,Recall mean,Recall mean,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
Extra Trees,PC2,Generalizability mean,GLR mean,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
Extra Trees,PC2,Concordance mean,Hit@10,0.0,15.0,0.0,15.0,0.0625,False,False,1.0
Extra Trees,PC2,Stability,ECE,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
Extra Trees,PC2,Reliability Index,Reliability Score,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
Extra Trees,PC3,AUC mean,AUC mean,1.0,14.0,1.0,13.0,0.125,False,False,0.8666666666666667
Extra Trees,PC3,F1 mean,F1 mean,0.0,15.0,0.0,15.0,0.0625,False,False,1.0
Extra Trees,PC3,Precision mean,Precision mean,0.0,15.0,0.0,15.0,0.0625,False,False,1.0
Extra Trees,PC3,Recall mean,Recall mean,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
Extra Trees,PC3,Generalizability mean,GLR mean,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
Extra Trees,PC3,Concordance mean,Hit@10,0.0,15.0,0.0,15.0,0.0625,False,False,1.0
Extra Trees,PC3,Stability,ECE,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
Extra Trees,PC3,Reliability Index,Reliability Score,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
Extra Trees,PC4,AUC mean,AUC mean,1.0,14.0,1.0,13.0,0.125,False,False,0.8666666666666667
Extra Trees,PC4,F1 mean,F1 mean,0.0,15.0,0.0,15.0,0.0625,False,False,1.0
Extra Trees,PC4,Precision mean,Precision mean,0.0,15.0,0.0,15.0,0.0625,False,False,1.0
Extra Trees,PC4,Recall mean,Recall mean,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
Extra Trees,PC4,Generalizability mean,GLR mean,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
Extra Trees,PC4,Concordance mean,Hit@10,0.0,15.0,0.0,15.0,0.0625,False,False,1.0
Extra Trees,PC4,Stability,ECE,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
Extra Trees,PC4,Reliability Index,Reliability Score,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
Gradient Boosting,MC1,AUC mean,AUC mean,7.0,8.0,7.0,1.0,1.0,False,False,0.06666666666666667
Gradient Boosting,MC1,F1 mean,F1 mean,0.0,15.0,0.0,15.0,0.0625,False,False,1.0
Gradient Boosting,MC1,Precision mean,Precision mean,0.0,15.0,0.0,15.0,0.0625,False,False,1.0
Gradient Boosting,MC1,Recall mean,Recall mean,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
Gradient Boosting,MC1,Generalizability mean,GLR mean,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
Gradient Boosting,MC1,Concordance mean,Hit@10,0.0,15.0,0.0,15.0,0.0625,False,False,1.0
Gradient Boosting,MC1,Stability,ECE,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
Gradient Boosting,MC1,Reliability Index,Reliability Score,5.0,10.0,5.0,5.0,0.625,False,False,0.3333333333333333
Gradient Boosting,MC2,AUC mean,AUC mean,7.0,8.0,7.0,1.0,1.0,False,False,0.06666666666666667
Gradient Boosting,MC2,F1 mean,F1 mean,0.0,15.0,0.0,15.0,0.0625,False,False,1.0
Gradient Boosting,MC2,Precision mean,Precision mean,0.0,15.0,0.0,15.0,0.0625,False,False,1.0
Gradient Boosting,MC2,Recall mean,Recall mean,0.0,15.0,0.0,15.0,0.0625,False,False,1.0
Gradient Boosting,MC2,Generalizability mean,GLR mean,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
Gradient Boosting,MC2,Concordance mean,Hit@10,0.0,15.0,0.0,15.0,0.0625,False,False,1.0
Gradient Boosting,MC2,Stability,ECE,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
Gradient Boosting,MC2,Reliability Index,Reliability Score,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
Gradient Boosting,MW1,AUC mean,AUC mean,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
Gradient Boosting,MW1,F1 mean,F1 mean,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
Gradient Boosting,MW1,Precision mean,Precision mean,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
Gradient Boosting,MW1,Recall mean,Recall mean,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
Gradient Boosting,MW1,Generalizability mean,GLR mean,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
Gradient Boosting,MW1,Concordance mean,Hit@10,0.0,15.0,0.0,15.0,0.0625,False,False,1.0
