"Model","Train_dataset","Test_dataset","BaseMetric","ProposedMetric","Baseline_mean","Proposed_mean","Difference","Improvement","N_pairs","W_min_scipy","W_plus","W_minus","W_signed","p_value","p_value_two_sided","significant_0.05","effect_size_r"
"adaboost","pc4","pc1","Generalizability_mean","GLR","0.884","0.40664480000000003","-0.4773552","-0.4773552","5","0.0","0.0","15.0","-15.0","1.0","0.0625","False","-1.0"
"adaboost","pc4","pc2","Generalizability_mean","GLR","0.729","0.349663","-0.379337","-0.379337","5","0.0","0.0","15.0","-15.0","1.0","0.0625","False","-1.0"
"adaboost","pc4","pc3","Generalizability_mean","GLR","0.784","0.342244","-0.44175600000000004","-0.44175600000000004","5","0.0","0.0","15.0","-15.0","1.0","0.0625","False","-1.0"
"adaboost","MEAN","MEAN","Stability","ECE","0.7064999999999999","0.1221342","-0.5843657999999999","0.5843657999999999","5","15.0","15.0","0.0","15.0","0.03125","0.0625","True","1.0"
"adaboost","pc1","pc2","Stability","ECE","0.8390000000000001","0.10332080000000002","-0.7356792000000001","0.7356792000000001","5","15.0","15.0","0.0","15.0","0.03125","0.0625","True","1.0"
"adaboost","pc1","pc3","Stability","ECE","0.826","0.129237","-0.696763","0.696763","5","15.0","15.0","0.0","15.0","0.03125","0.0625","True","1.0"
"adaboost","pc1","pc4","Stability","ECE","0.8109999999999999","0.08600479999999999","-0.7249952","0.7249952","5","15.0","15.0","0.0","15.0","0.03125","0.0625","True","1.0"
"adaboost","pc2","pc1","Stability","ECE","0.925","0.18627600000000002","-0.738724","0.738724","5","15.0","15.0","0.0","15.0","0.03125","0.0625","True","1.0"
"adaboost","pc2","pc3","Stability","ECE","0.536","0.150071","-0.385929","0.385929","5","15.0","15.0","0.0","15.0","0.03125","0.0625","True","1.0"
"adaboost","pc2","pc4","Stability","ECE","0.46799999999999997","0.149252","-0.318748","0.318748","5","15.0","15.0","0.0","15.0","0.03125","0.0625","True","1.0"
"adaboost","pc3","pc1","Stability","ECE","0.875","0.164128","-0.710872","0.710872","5","15.0","15.0","0.0","15.0","0.03125","0.0625","True","1.0"
"adaboost","pc3","pc2","Stability","ECE","0.483","0.0848778","-0.3981222","0.3981222","5","15.0","15.0","0.0","15.0","0.03125","0.0625","True","1.0"
"adaboost","pc3","pc4","Stability","ECE","0.457","0.06646","-0.39054","0.39054","5","15.0","15.0","0.0","15.0","0.03125","0.0625","True","1.0"
"adaboost","pc4","pc1","Stability","ECE","0.791","0.100199","-0.690801","0.690801","5","15.0","15.0","0.0","15.0","0.03125","0.0625","True","1.0"
"adaboost","pc4","pc2","Stability","ECE","0.7180000000000001","0.138445","-0.579555","0.579555","5","15.0","15.0","0.0","15.0","0.03125","0.0625","True","1.0"
"adaboost","pc4","pc3","Stability","ECE","0.749","0.10734219999999998","-0.6416578000000001","0.6416578000000001","5","15.0","15.0","0.0","15.0","0.03125","0.0625","True","1.0"
"adaboost","MEAN","MEAN","ReliabilityIndex","ReliabilityScore","0.8806670000000001","0.826554","-0.05411300000000008","-0.05411300000000008","5","0.0","0.0","15.0","-15.0","1.0","0.0625","False","-1.0"
"adaboost","pc1","pc2","ReliabilityIndex","ReliabilityScore","0.906","0.7948120000000001","-0.11118799999999995","-0.11118799999999995","5","0.0","0.0","15.0","-15.0","1.0","0.0625","False","-1.0"
"adaboost","pc1","pc3","ReliabilityIndex","ReliabilityScore","0.95","0.788909","-0.16109099999999998","-0.16109099999999998","5","0.0","0.0","15.0","-15.0","1.0","0.0625","False","-1.0"
"adaboost","pc1","pc4","ReliabilityIndex","ReliabilityScore","0.937","0.8022829999999999","-0.1347170000000002","-0.1347170000000002","5","0.0","0.0","15.0","-15.0","1.0","0.0625","False","-1.0"
"adaboost","pc2","pc1","ReliabilityIndex","ReliabilityScore","0.958","0.752665","-0.20533499999999993","-0.20533499999999993","5","0.0","0.0","15.0","-15.0","1.0","0.0625","False","-1.0"
"adaboost","pc2","pc3","ReliabilityIndex","ReliabilityScore","0.8139999999999998","0.838795","0.024795000000000122","0.024795000000000122","5","15.0","15.0","0.0","15.0","0.03125","0.0625","True","1.0"
"adaboost","pc2","pc4","ReliabilityIndex","ReliabilityScore","0.808","0.8403740000000001","0.032374000000000014","0.032374000000000014","5","15.0","15.0","0.0","15.0","0.03125","0.0625","True","1.0"
